County_Name,State_FIPS,County_FIPS,Year,Tree_Loss_Hectares,Carbon_Emissions_Mg_CO2e,Tree_Cover_Extent_Ha
Barbour,54,001,2010,236.53179,89065.43117,46993.52
Barbour,54,001,2011,102.36158,39544.05766,46993.52
Barbour,54,001,2012,175.90408,64384.00025,46993.52
Barbour,54,001,2013,176.68135,57500.43018,46993.52
Barbour,54,001,2014,411.539,116692.70303,46993.52
Barbour,54,001,2015,193.42274,75048.94892,46993.52
Barbour,54,001,2016,166.09841,63100.69678,46993.52
Barbour,54,001,2017,291.83813,117679.10134,46993.52
Barbour,54,001,2018,293.69165,120641.37264,46993.52
Barbour,54,001,2019,438.26542,182754.01084,46993.52
Barbour,54,001,2020,308.75888,131129.77106,46993.52
Butler,42,019,2010,131.30444,46890.28022,73963.89
Butler,42,019,2011,195.42986,74136.7689,73963.89
Butler,42,019,2012,250.74684,92505.78419,73963.89
Butler,42,019,2013,139.58436,40724.56786,73963.89
Butler,42,019,2014,271.06497,90983.64246,73963.89
Butler,42,019,2015,245.16817,85405.05565,73963.89
Butler,42,019,2016,172.17559,50920.05129,73963.89
Butler,42,019,2017,419.10543,147496.69886,73963.89
Butler,42,019,2018,127.25256,39522.56423,73963.89
Butler,42,019,2019,211.931,74619.62203,73963.89
Butler,42,019,2020,210.9327,75075.54998,73963.89
Bullock,01,011,2010,4122.04947,1672525.17035,86261.68
Bullock,01,011,2011,4467.03996,1856582.48375,86261.68
Bullock,01,011,2012,4071.62223,1684801.89562,86261.68
Bullock,01,011,2013,3541.64445,1293330.45256,86261.68
Bullock,01,011,2014,4678.06057,1788843.92418,86261.68
Bullock,01,011,2015,4894.32718,1822824.38529,86261.68
Bullock,01,011,2016,5007.77206,1958779.00271,86261.68
Bullock,01,011,2017,5182.26735,2121563.36899,86261.68
Bullock,01,011,2018,4322.18461,1816971.49391,86261.68
Bullock,01,011,2019,4053.06449,1659012.72443,86261.68
Bullock,01,011,2020,3072.91378,1326611.67135,86261.68
Bibb,13,021,2010,670.8696500000001,249709.49555,40197.49
Bibb,13,021,2011,626.1708699999999,257175.68579,40197.49
Bibb,13,021,2012,537.80833,217549.49681,40197.49
Bibb,13,021,2013,665.62999,230428.0108,40197.49
Bibb,13,021,2014,1015.91049,364777.90929,40197.49
Bibb,13,021,2015,1100.974,404812.66092,40197.49
Bibb,13,021,2016,1219.0926,420248.66132,40197.49
Bibb,13,021,2017,1746.8744299999998,700792.4905699999,40197.49
Bibb,13,021,2018,964.09615,382185.0106,40197.49
Bibb,13,021,2019,807.29468,290701.31662,40197.49
Bibb,13,021,2020,750.82287,277917.23812999995,40197.49
Calhoun,54,013,2010,72.59218,29512.88964,40414.05
Calhoun,54,013,2011,118.91505,49092.84592,40414.05
Calhoun,54,013,2012,135.04304000000002,50453.46265,40414.05
Calhoun,54,013,2013,88.3963,26060.9315,40414.05
Calhoun,54,013,2014,85.86421,23035.48876,40414.05
Calhoun,54,013,2015,116.50956,44227.98939,40414.05
Calhoun,54,013,2016,124.62689,49233.67795,40414.05
Calhoun,54,013,2017,135.96125,53381.99762,40414.05
Calhoun,54,013,2018,133.1002,43884.11174,40414.05
Calhoun,54,013,2019,50.84097,22168.3763,40414.05
Calhoun,54,013,2020,94.09027,27996.45194,40414.05
Baldwin,13,009,2010,868.68271,344241.73591,34648.72
Baldwin,13,009,2011,723.20149,307403.07613,34648.72
Baldwin,13,009,2012,2290.18116,994656.25746,34648.72
Baldwin,13,009,2013,1554.3657,578165.3699,34648.72
Baldwin,13,009,2014,1559.02317,586968.09115,34648.72
Baldwin,13,009,2015,2340.37833,892902.65254,34648.72
Baldwin,13,009,2016,2411.01662,946243.38435,34648.72
Baldwin,13,009,2017,2271.4866,854127.20193,34648.72
Baldwin,13,009,2018,1802.89343,682129.37337,34648.72
Baldwin,13,009,2019,1671.06118,734290.06536,34648.72
Baldwin,13,009,2020,1490.90768,677468.21925,34648.72
Cleburne,05,023,2010,1484.15257,505698.36079,54223.42
Cleburne,05,023,2011,876.50812,283344.26305,54223.42
Cleburne,05,023,2012,1252.22625,378826.41481,54223.42
Cleburne,05,023,2013,1303.29778,408697.17242,54223.42
Cleburne,05,023,2014,993.5392,273602.35568,54223.42
Cleburne,05,023,2015,783.22248,244534.86879,54223.42
Cleburne,05,023,2016,1216.23118,375139.67114,54223.42
Cleburne,05,023,2017,1091.85033,380132.71118,54223.42
Cleburne,05,023,2018,822.42129,268322.65992,54223.42
Cleburne,05,023,2019,849.24484,223172.27221,54223.42
Cleburne,05,023,2020,716.44629,232358.39714,54223.42
Chambers,48,071,2010,219.86263,57704.3533,92447.71
Chambers,48,071,2011,508.86529,154020.36022,92447.71
Chambers,48,071,2012,259.34239,77835.53279000001,92447.71
Chambers,48,071,2013,342.80814,68910.00756000001,92447.71
Chambers,48,071,2014,262.90701,54578.50861999999,92447.71
Chambers,48,071,2015,410.46853,94070.80189,92447.71
Chambers,48,071,2016,539.60167,123250.69972,92447.71
Chambers,48,071,2017,517.20514,120608.63597,92447.71
Chambers,48,071,2018,340.31964,92554.08995,92447.71
Chambers,48,071,2019,316.30895000000004,64553.03801,92447.71
Chambers,48,071,2020,476.71652,98534.31857,92447.71
Blount,47,009,2010,369.05936,148666.44587,74049.63
Blount,47,009,2011,697.03533,277857.18206,74049.63
Blount,47,009,2012,180.79197,73039.49255,74049.63
Blount,47,009,2013,115.77471,40225.22461,74049.63
Blount,47,009,2014,144.67126000000002,44365.55992,74049.63
Blount,47,009,2015,126.51669,45123.81237,74049.63
Blount,47,009,2016,407.94407,137818.73291,74049.63
Blount,47,009,2017,581.51191,176891.94139,74049.63
Blount,47,009,2018,230.54432,80968.1607,74049.63
Blount,47,009,2019,177.71386,56045.63022,74049.63
Blount,47,009,2020,181.10607,58759.74246,74049.63
Clay,54,015,2010,346.72791,147387.93747,60010.51
Clay,54,015,2011,300.98417,130553.49185,60010.51
Clay,54,015,2012,291.37311,108994.85245,60010.51
Clay,54,015,2013,283.95192,101896.23462,60010.51
Clay,54,015,2014,503.60709,157259.99891000002,60010.51
Clay,54,015,2015,314.54913,132225.05968,60010.51
Clay,54,015,2016,534.26514,222941.43365,60010.51
Clay,54,015,2017,638.40518,270967.09508,60010.51
Clay,54,015,2018,358.83298,159369.3124,60010.51
Clay,54,015,2019,347.9445,151132.23207,60010.51
Clay,54,015,2020,306.6413,132135.17642,60010.51
Coffee,47,031,2010,233.8737,81933.18101,56687.72
Coffee,47,031,2011,224.51372,81204.96466,56687.72
Coffee,47,031,2012,236.63772,82867.91907999999,56687.72
Coffee,47,031,2013,132.296,37898.45078,56687.72
Coffee,47,031,2014,158.80545,50424.90707,56687.72
